player,count_teams
A.J. Lawson,2
Bones Hyland,2
Bruno Fernando,2
Cam Reddish,2
Cameron Johnson,2
D'Angelo Russell,2
Damian Jones,2
Danny Green,2
Dario �ari?,2
Darius Bazley,2
Davon Reed,2
Devonte' Graham,2
Dewayne Dedmon,2
Dorian Finney-Smith,2
Dru Smith,2
Eric Gordon,2
Eugene Omoruyi,2
Frank Kaminsky,2
Garrison Mathews,2
Gary Payton II,2
George Hill,2
Goga Bitadze,2
Goran Dragi?,2
Jakob Poeltl,2
Jalen McDaniels,2
Jamaree Bouyea,2
James Wiseman,2
Jarred Vanderbilt,2
Jordan Nwora,2
Josh Hart,2
Josh Richardson,2
Juan Toscano-Anderson,2
Julian Champagnie,2
Justin Champagnie,2
Justin Holiday,2
Kendrick Nunn,2
Kessler Edwards,2
Kevin Durant,2
Kevin Knox,2
Kevin Love,2
Kyrie Irving,2
Luke Kennard,2
Malik Beasley,2
Markieff Morris,2
Mason Plumlee,2
Matisse Thybulle,2
Matt Ryan,2
Mikal Bridges,2
Mike Conley,2
Mike Muscala,2
Mo Bamba,2
Moses Brown,2
Nerlens Noel,2
Nickeil Alexander-Walker,2
Patrick Beverley,2
R.J. Hampton,2
Reggie Jackson,2
Rui Hachimura,2
Russell Westbrook,2
Ryan Arcidiacono,2
Saben Lee,2
Saddiq Bey,2
Sandro Mamukelashvili,2
Spencer Dinwiddie,2
Svi Mykhailiuk,2
T.J. Warren,2
Terrence Ross,2
Terry Taylor,2
Thomas Bryant,2
Will Barton,2
